OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
331,2,1554.589099,234.462326,235.491486,1.02916,234.976906,0.51458,469.953812
332,1,777.294549,299.054596,299.054596,0,299.054596,0,299.054596
333,2,1554.589099,225,277.594635,52.594635,251.297318,26.297318,502.594635
334,2,1554.589099,135,147.528809,12.528809,141.264404,6.264404,282.528809
335,1,777.294549,161.565048,161.565048,0,161.565048,0,161.565048
336,1,777.294549,71.565048,71.565048,0,71.565048,0,71.565048
337,2,1554.589099,210.96376,254.054611,43.090851,232.509186,21.545425,465.018372
338,1,777.294549,93.814072,93.814072,0,93.814072,0,93.814072
339,1,777.294549,293.198578,293.198578,0,293.198578,0,293.198578
340,2,1554.589099,213.690063,215.537674,1.84761,214.613869,0.923805,429.227737
341,1,777.294549,85.36454,85.36454,0,85.36454,0,85.36454
342,2,1554.589099,10.491476,39.805573,29.314096,25.148524,14.657048,50.297049
343,2,1554.589099,286.557068,294.274445,7.717377,290.415756,3.858688,580.831512
344,1,777.294549,302.005371,302.005371,0,302.005371,0,302.005371
345,1,777.294549,324.462311,324.462311,0,324.462311,0,324.462311
346,2,1554.589099,191.309937,198.434952,7.125015,194.872444,3.562508,389.744888
347,2,1554.589099,135,164.744888,29.744888,149.872444,14.872444,299.744888
348,2,1554.589099,288.434937,310.601288,22.166351,299.518112,11.083176,599.036224
349,2,1554.589099,71.565048,180,108.434952,125.782524,54.217476,251.565048
350,1,777.294549,308.659821,308.659821,0,308.659821,0,308.659821
351,1,777.294549,315,315,0,315,0,315
352,2,1554.589099,117.428741,124.611145,7.182404,121.019943,3.591202,242.039886
353,1,777.294549,90,90,0,90,0,90
354,2,1554.589099,177.878906,191.309937,13.43103,184.594421,6.715515,369.188843
355,2,1554.589099,118.610458,122.905243,4.294785,120.757851,2.147392,241.515701
356,2,1554.589099,64.440033,74.134293,9.69426,69.287163,4.84713,138.574326
357,2,1554.589099,11.309932,315,303.690068,163.154966,151.845034,326.309932
358,1,777.294549,242.102737,242.102737,0,242.102737,0,242.102737
359,2,1554.589099,63.434948,65.556046,2.121098,64.495497,1.060549,128.990993
